station,district,latitude,longitude,predicted_label,risk_score,prob_low,prob_moderate,prob_high
Anaikidangu,Kanyakumari,8.2347,77.3779,Moderate,0.2466,0.4062,0.5654,0.0284
Annavasal_1,Pudukkottai,10.4611,78.7011,Moderate,0.721,0.0,0.6022,0.3978
Aralvaimozhi,Kanyakumari,8.2472,77.545,Moderate,0.409,0.0247,0.9499,0.0255
Aranthangi_1,Pudukkottai,10.16,79.0042,High,0.7883,0.0,0.0,1.0
Aravakuruchi,Karur,10.7733,77.91,Low,0.1921,0.9714,0.0286,0.0
Ariyalur_1,Ariyalur,11.1364,79.0764,High,0.9772,0.0,0.0,1.0
Bavanisagar Dam,Erode,11.4733,77.1303,Moderate,0.4186,0.0247,0.9499,0.0255
Bodinayakkanur_1,Theni,10.0197,77.3278,Low,0.021,1.0,0.0,0.0
Budalur_1,Thanjavur,10.7858,78.9803,High,0.7024,0.0,0.0614,0.9386
Chennai Mylapore (DGPOffice),Chennai,13.0414,80.2792,High,0.729,0.0,0.1164,0.8836
Cheranmahadevi,Tirunelveli,8.69,77.5625,Moderate,0.5907,0.0,0.7628,0.2372
Cheyyar Anicut,Tiruvannamalai,12.5939,79.3872,Moderate,0.4834,0.0,1.0,0.0
Chithraichavadi Anicut,Coimbatore,10.9689,76.8261,Low,0.2269,0.8564,0.1202,0.0234
Coonoor_1,Nilgiris,11.3422,76.8061,High,0.8634,0.0,0.0,1.0
Dusi Ayyangarkulam,Tiruvannamalai,12.7842,79.6639,Low,0.2148,0.9714,0.0286,0.0
Ellis Anicut,Viluppuram,11.9031,79.4053,High,0.5541,0.0075,0.2681,0.7245
Elumalai_1,Madurai,9.8639,77.6978,High,0.8148,0.0,0.1164,0.8836
Gollapally,Vellore,13.0319,78.8644,Low,0.1728,1.0,0.0,0.0
Grand Anicut,Tiruchirappalli,10.8286,78.8181,High,0.6728,0.0,0.2522,0.7478
Gudalore_1,Nilgiris,11.5014,76.4919,High,0.9221,0.0,0.0,1.0
Gudalore_M,Theni,9.68,77.2353,Low,0.0317,1.0,0.0,0.0
Harur_3,Dharmapuri,12.0517,78.475,Low,0.0555,1.0,0.0,0.0
Hosur,Krishnagiri,12.7272,77.8278,Low,0.3141,1.0,0.0,0.0
K Paramathi,Karur,10.9575,77.9108,Moderate,0.589,0.0,0.7737,0.2263
Kadambur_1,Thoothukudi,8.9928,77.8589,Low,0.3445,0.9208,0.0792,0.0
Kadayam,Tenkasi,8.8244,77.3706,Moderate,0.4521,0.0247,0.8832,0.0921
Kalampatti,Thoothukudi,9.11,77.7822,Moderate,0.5703,0.0,0.9761,0.0239
Kalingarayan -ARG,Erode,11.4414,77.6761,Low,0.3693,0.9506,0.0494,0.0
Kallakurichi,Kallakurichi,11.7411,78.9642,Low,0.27,0.9411,0.0589,0.0
Kamachipuram,Dindigul,10.5133,77.8608,Moderate,0.499,0.0,1.0,0.0
Kamudhi -ARG,Ramanathapuram,9.4128,78.3631,Moderate,0.5138,0.0247,0.9753,0.0
Kancheepuram,Kancheepuram,12.8239,79.6983,Moderate,0.5817,0.0247,0.9499,0.0255
Karaikudi -ARG,Sivaganga,10.0758,78.7786,High,0.8359,0.0,0.0681,0.9319
Karisalkulam_1,Thoothukudi,9.35,78.0583,Low,0.3679,0.945,0.055,0.0
Karunkuzhi,Chengalpattu,12.5431,79.9044,High,0.8879,0.0,0.0,1.0
Karuppanadhi Dam,Tenkasi,9.1336,77.3106,Low,0.1821,1.0,0.0,0.0
Karur,Karur,10.9178,78.0936,Low,0.4228,0.7411,0.2589,0.0
Kavalur,Virudhunagar,9.5744,77.9033,High,0.8969,0.0,0.0,1.0
Kazhugumalai_1,Thoothukudi,9.1494,77.7028,Moderate,0.5086,0.0,0.9292,0.0708
Keelaeral,Thoothukudi,9.0969,78.0067,High,0.7662,0.0,0.3121,0.6879
Kesavaram Anicut_1,Ranipet,13.0217,79.7625,Low,0.1428,1.0,0.0,0.0
Kiladayalam,Viluppuram,12.1672,79.6206,Moderate,0.5638,0.0,0.9566,0.0434
Kilnatcipatu,Tiruvannamalai,12.2392,79.1067,Moderate,0.4555,0.0247,0.9499,0.0255
Kodumudiyar dam,Tirunelveli,8.4264,77.5275,Moderate,0.4941,0.0,0.6307,0.3693
KolidamL A(Coleroon),Nagapattinam,11.3292,79.7208,Moderate,0.6066,0.0,0.9745,0.0255
Koppampatti_1,Tiruchirappalli,11.3,78.4969,High,0.5552,0.0,0.4765,0.5235
Koradachery,Tiruvarur,10.7736,79.4892,Low,0.2948,0.9252,0.0514,0.0234
Kothuvacheri,Cuddalore,11.5203,79.6353,High,0.6852,0.0,0.1183,0.8817
Kottaram,Kanyakumari,8.1197,77.5272,Moderate,0.5379,0.0,0.9745,0.0255
Krishnagiri Reservoir,Krishnagiri,12.4731,78.195,High,0.7355,0.0,0.025,0.975
Kulasekaram,Kanyakumari,8.3556,77.2869,Moderate,0.4959,0.026,0.9487,0.0253
Kulasekarapattinam,Thoothukudi,8.4006,78.0533,Moderate,0.6941,0.0,0.8548,0.1452
Kulithalai_1,Karur,10.9411,78.4206,High,0.741,0.0,0.0,1.0
Kundrakudi,Sivaganga,10.1114,78.7047,High,0.8197,0.0,0.1164,0.8836
Kurungulam,Thanjavur,10.6564,79.0981,Low,0.3,0.975,0.025,0.0
LBP Quarters Campus,Erode,11.3353,77.7375,High,0.7628,0.0,0.0,1.0
Lekkur,Cuddalore,11.4661,79.0186,High,0.8524,0.0,0.0,1.0
Lower Anicut,Thanjavur,11.1453,79.45,Moderate,0.5234,0.0,0.6472,0.3528
Madurai_1,Madurai,9.9406,78.1328,Moderate,0.5603,0.0247,0.9499,0.0255
Madurantakam,Chengalpattu,12.4989,79.8753,High,0.7903,0.0,0.0614,0.9386
Manalmedu_1,Nagapattinam,11.2006,79.6014,High,0.9552,0.0,0.0,1.0
Mangalapuram,Namakkal,11.5658,78.3786,Low,0.4234,0.4995,0.4713,0.0292
ManjalarDam,Theni,10.1897,77.6322,Low,0.2393,1.0,0.0,0.0
Marandahalli_1,Dharmapuri,12.3908,77.9911,Low,0.1648,1.0,0.0,0.0
Mayanur,Karur,10.9558,78.2397,Low,0.2114,1.0,0.0,0.0
Mayiladumparai,Theni,9.7803,77.5128,Moderate,0.51,0.0559,0.9441,0.0
Melumalai,Krishnagiri,12.6161,78.0872,High,0.8376,0.0,0.0,1.0
Mettur_1,Salem,11.8075,77.8003,Moderate,0.6472,0.0247,0.5078,0.4675
Mudukulathur_1,Ramanathapuram,9.3564,78.5183,High,0.7028,0.0,0.025,0.975
Nambiyar,Tirunelveli,8.3708,77.7386,Moderate,0.4428,0.0689,0.9311,0.0
Nanguneri,Tirunelveli,8.48,77.6639,Low,0.3193,0.9764,0.0236,0.0
Narikudi_1,Virudhunagar,9.5833,78.3167,High,0.7628,0.0,0.0,1.0
Natham_1,Dindigul,10.2303,78.2286,High,0.9859,0.0,0.0,1.0
Nedungal,Krishnagiri,12.3736,78.2689,Low,0.0945,1.0,0.0,0.0
Negamam_1,Coimbatore,10.7444,77.1031,Low,0.1376,1.0,0.0,0.0
Nilakottai_1,Dindigul,10.1625,77.8542,High,0.9262,0.0,0.0,1.0
Palaviduthi_1,Karur,10.6469,78.2383,High,0.9831,0.0,0.0,1.0
Palayamkottai,Tirunelveli,8.7264,77.7158,Moderate,0.43,0.2786,0.7214,0.0
Palur,Cuddalore,11.7472,79.6364,High,0.8366,0.0,0.0,1.0
Pambar Reservoir,Krishnagiri,12.2633,78.5633,Low,0.0762,1.0,0.0,0.0
Panagudi,Tirunelveli,8.3239,77.5708,Low,0.089,1.0,0.0,0.0
Panchapatti,Karur,10.8294,78.3069,High,0.7945,0.0,0.0,1.0
ParamathiVelor,Namakkal,11.1331,78.0189,Low,0.2521,0.9455,0.0545,0.0
Parthibanur Regulator,Ramanathapuram,9.6358,78.4706,Moderate,0.52,0.0,0.9245,0.0755
Pattukottai_1,Thanjavur,10.4261,79.3261,Low,0.009,1.0,0.0,0.0
Perambalur,Tiruchirappalli,11.2256,78.8756,Low,0.1079,0.8897,0.1044,0.0059
Peravoorani_1,Thanjavur,10.2886,79.2017,High,0.6966,0.0,0.0008,0.9992
Perunchani Reservoir,Kanyakumari,8.3636,77.3575,Moderate,0.4055,0.0916,0.9084,0.0
Pickup Anicut-Sathanur,Tiruvannamalai,12.1394,78.8939,High,0.6641,0.0222,0.2612,0.7166
Pilavakkal Periyar Dam,Virudhunagar,9.64,77.5294,Moderate,0.6028,0.0,1.0,0.0
Polur,Tiruvannamalai,12.5086,79.1222,Low,0.09,1.0,0.0,0.0
Ponnamaravathi_1,Pudukkottai,10.2706,78.5358,High,0.8586,0.0,0.0,1.0
Ponnanaiyar Dam_1,Tiruchirappalli,10.5822,78.265,Moderate,0.4917,0.0,1.0,0.0
Ponneri,Tiruvallur,13.3314,80.1953,Moderate,0.559,0.0247,0.7483,0.227
Poondi Reservoir,Tiruvallur,13.2083,79.8758,Low,0.2731,0.9032,0.0968,0.0
Pudukkottai,Pudukkottai,10.3769,78.8178,Moderate,0.6076,0.0,0.7267,0.2733
Radhapuram,Tirunelveli,8.2689,77.6847,Moderate,0.5866,0.0,0.9079,0.0921
Rajagiri_1,Thanjavur,10.9236,79.2442,High,0.6566,0.0,0.0,1.0
Ramakrishnapet,Tiruvallur,13.1517,79.4322,Low,0.0686,1.0,0.0,0.0
Ramanadhapuram -ARG,Ramanathapuram,9.3619,78.8181,Low,0.0472,1.0,0.0,0.0
Raya Raghunatha Samudiram,Pudukkottai,10.2569,78.8183,Moderate,0.5493,0.0,1.0,0.0
RedHills,Tiruvallur,13.1867,80.1883,Moderate,0.4479,0.0247,0.9211,0.0542
SGSWRDC Campus (Tharamani site),Chennai,12.9858,80.245,High,0.7672,0.0,0.12,0.88
Savaspuram,Virudhunagar,9.4853,78.1461,Moderate,0.6048,0.0247,0.9753,0.0
Sendurai_1,Ariyalur,11.2592,79.1914,Moderate,0.5072,0.0247,0.9499,0.0255
Sethiathope Anicut TARG,Cuddalore,11.4322,79.5425,Low,0.1441,1.0,0.0,0.0
Sethumadai,Coimbatore,10.5128,76.8831,Low,0.119,1.0,0.0,0.0
Sholaiyur,Coimbatore,10.3011,76.8797,Low,0.1297,0.9822,0.0178,0.0
Sikkal_1,Ramanathapuram,9.2475,78.6383,High,0.7591,0.0,0.0,1.0
Sivagangai,Sivaganga,9.8542,78.4886,Moderate,0.399,0.2536,0.7239,0.0225
Sivagiri,Tenkasi,9.3467,77.4336,Moderate,0.4476,0.0247,0.9499,0.0255
Srivaigundam,Thoothukudi,8.6286,77.9053,Low,0.2166,0.8139,0.1646,0.0215
Srivilliputhur_1,Virudhunagar,9.5161,77.6336,Moderate,0.4176,0.0462,0.9538,0.0
Sundakkampalyam,Tiruppur,11.1994,77.2281,High,0.874,0.0,0.0,1.0
Thammampatti_1,Salem,11.44,78.4853,High,0.7141,0.0,0.0758,0.9242
Thangachimadam_1,Ramanathapuram,9.2819,79.2389,High,0.8052,0.0,0.025,0.975
Thanjavur,Thanjavur,10.7728,79.1358,Moderate,0.5117,0.0,0.9745,0.0255
Thirumangalam_1,Madurai,9.8236,77.9883,Moderate,0.5128,0.0229,0.9771,0.0
ThirumoorthyNagar,Tiruppur,10.4869,77.1667,Low,0.1434,1.0,0.0,0.0
Thirupalaikudi,Ramanathapuram,9.5406,78.9122,High,0.8855,0.0,0.0,1.0
Thiruppur_1,Tiruppur,11.1047,77.3439,High,0.7772,0.0,0.0,1.0
Thiruthuraipoondi,Tiruvarur,10.5381,79.6336,Moderate,0.4869,0.0,0.9745,0.0255
Thiruthuraipoondi_1,Tiruvarur,10.5389,79.6331,High,0.959,0.0,0.0,1.0
Thiruvadanai_1,Ramanathapuram,9.7833,78.9167,High,1.0,0.0,0.0,1.0
Thoothukudi Circuit House,Thoothukudi,8.7911,78.1592,Moderate,0.4121,0.0,0.9745,0.0255
Tirukoilur,Kallakurichi,11.9464,79.2503,High,0.9152,0.0,0.0,1.0
Trichycity,Tiruchirappalli,10.8207,78.6935,Moderate,0.45,0.0242,0.9758,0.0
Udumalaipettai_1,Tiruppur,10.5736,77.2439,Low,0.141,1.0,0.0,0.0
Uppar Dam,Tiruppur,10.7775,76.4228,Low,0.2348,0.8765,0.1235,0.0
Upper Anicut,Tiruchirappalli,10.8886,78.5786,Low,0.26,1.0,0.0,0.0
Uthampalayam,Tiruppur,10.9011,77.6728,Moderate,0.5903,0.0247,0.9753,0.0
VaigaiDam,Theni,10.0519,77.5892,Moderate,0.4107,0.1582,0.8418,0.0
Valathi,Viluppuram,12.3486,79.38,Moderate,0.4183,0.0247,0.9499,0.0255
Vanapuram,Tiruvannamalai,12.1044,79.0181,High,0.9041,0.0,0.0,1.0
Vaniyambadi,Tirupathur,12.6781,78.6222,High,0.82,0.0,0.0,1.0
Vaniyar Reservoir,Dharmapuri,11.905,78.325,Low,0.2055,1.0,0.0,0.0
Vellore,Vellore,12.9486,79.1389,Low,0.3748,0.9747,0.0253,0.0
Vembakottai Dam,Virudhunagar,9.335,77.7511,Moderate,0.599,0.0,1.0,0.0
Vettaikaranpudur_1,Coimbatore,10.5669,76.9214,Low,0.0766,1.0,0.0,0.0
Vettikadu_1,Thanjavur,10.5697,79.1956,Moderate,0.5655,0.0,0.9745,0.0255
Vidur Anicut,Viluppuram,12.0722,79.585,Low,0.0369,1.0,0.0,0.0
Vilathikulam,Thoothukudi,9.1303,78.1681,Moderate,0.3403,0.3298,0.6383,0.0318
Viralipatti,Dindigul,10.1261,77.7078,Low,0.1576,1.0,0.0,0.0
Virudhunagar_IB,Virudhunagar,9.6119,77.955,High,0.8045,0.0,0.0825,0.9175
Yelagiri Hills,Tirupathur,12.5839,78.6481,Low,0.2452,0.9519,0.0481,0.0
